Top,Sub,Aux,Name,Entry,Comments,I-Prologue,I,II,III,IV,V
,,,Demons,--THE EVIL EYE WATCHES--,,,,,,,
,,,Locations,Locations folder,,,,,,,
,,,Miscellaneous,Miscellaneous folder,,,,,,,
,,,Personnel,Personnel folder,,,,,,,
,,,Spells,Spells folder,,,,,,,
Spells,,,Lance,Lance Spells folder,,,,,,,
Spells,Lance,,SPEAR,,,,,,,,
Locations,,,Agartha,"A massive flying fortress created in ancient times by the |Obscurian| people. Incorportated as a self-governing city-state of |Armica|.

The structure of Agartha is a massive, metallic sphere 25 miles in diameter, flanked by large wing structures. The structure is broken into several layered strata broken into two halves: the surface layers (broken further into |Upper Agartha| and |Lower Agartha|) where the majoriy of people live, and the subterranean |Ruins|. 

Many of the underlying mechanics of Agartha are not yet completely understood However, researchers and engineers have managed to restore many of the key functions of the city, including:
  -Autonomous flight
  -Internal weather and artificial sunlight control
  -Atmospheric water collection

Such features have allowed long term colonization and habitation of Agartha, primarily by |Armican| citizens. As of 2030, the city houses over a million people.",,"A massive flying fortress created in ancient times by the |Obscurian| people. Incorportated as a self-governing city-state of |Armica|.

The structure of Agartha is a massive, metallic sphere 25 miles in diameter, flanked by large wing structures. The structure is broken into several layered strata broken into two halves: the surface layers (broken further into |Upper Agartha| and |Lower Agartha|) where the majoriy of people live, and the subterranean |Ruins|. ",,"A massive flying fortress created in ancient times by the |Obscurian| people. Incorportated as a self-governing city-state of |Armica|.

The structure of Agartha is a massive, metallic sphere 25 miles in diameter, flanked by large wing structures. The structure is broken into several layered strata broken into two halves: the surface layers (broken further into |Upper Agartha| and |Lower Agartha|) where the majoriy of people live, and the subterranean |Ruins|. 

Many of the underlying mechanics of Agartha are not yet completely understood However, researchers and engineers have managed to restore many of the key functions of the city, including:
  -Autonomous flight
  -Internal weather and artificial sunlight control
  -Atmospheric water collection

Such features have allowed long term colonization and habitation of Agartha, primarily by |Armican| citizens. As of 2030, the city houses over a million people.",,,
Locations,,,Lower Agartha,"The lower stratum of the city of |Agartha|. Built and augmented from the existing infrastructure of |Agartha|. Contains a combination of residential districts interspersed with commercial and restaurant sectors. Due to the crowded conditions, personal transportation is rarely used, and most Agarthans rely on the dense network of trains centered on |Seven Stars Station|.",,X,,,,,
Locations,,,Upper Agartha,"The upper stratum of the city of |Agartha|. The stratum was constructed completely after |Armica| colonized the city, and contains many of the administrative and financial sectors of the city.",,X,,,,,
Locations,Lower Agartha,,AEIOU HQ - Iconoclasts Branch Office,Contained within the highest floors of AEIOU HQ still Lower Agartha.,,,,,,,
Locations,Lower Agartha,,AEIOU HQ - Ostanes Branch Office,"Ground floor of Lower Agartha - one of the first established branches of AEIOU, created in collaboration with tech conglomerate Ostanes.",,,,,,,
Locations,Lower Agartha,,AEIOU HQ - Underdogs Branch Office,Basement offices beneath the Ostanes Branch of AEIOU. Very difficult to find.,,,,,,,
Locations,Lower Agartha,,Criss-Cross Cafe,,,,,,,,
Locations,Lower Agartha,,Orchid Palace Apartments,Lower Agarthan housing complex. In-unit washer/dryer. 15 minute walk from the nearest metro station. Cheap rent!,,,,,,,
Locations,Lower Agartha,,Seven Stars Station,"The largest train station in |Lower Agartha|, serving all major lines A through F, acting as a central hub for the city.",,"WARNING - MEMORY CORRUPTION

The largest train stat-*- in |Lower Agartha|, serving %@- major li-es A through F, a-%^ng as a ce-tral hub -(! the cit%.

On <color=""red"">|October 22, 2033|</color>, |Demons| a#tacked the st-@-on, w-$ic- _-uld -#*- to -he -(-rt of the S@!-!z--^^n -r#-ect a-&","The largest train station in |Lower Agartha|, serving all major lines A through F, acting as a central hub for the city.",,,,
Locations,Lower Agartha,,End of the Line,"The main entrance to the Ruins - a gargantuan hole leading directly into the First Layer of the Ruins. A single train line owned by AEIOU runs across the diameter of the hole, equipped with cranes to lower equipment and personnel down into the Ruins.",,,,,,,
Locations,Lower Agartha,,Typocry-Pho,An authentic noodle restaurant located in Lower Agartha. Family-owned. Affordable prices.,Adelai: 4/5 - Excellent food and a warm atmosphere! Love their |boat noodles|! The location is a little out of the way.,,,,,,
Locations,Ruins,First Layer,Base Camp Alpha,The initial staging area for expeditions into the Ruins. Abandoned construction materials and equipment can be seen left scattered about - remnants of failed expansion projects into the Ruins.,,,,,,,
Locations,Ruins,Second Layer,,,,,,,,,
Locations,Ruins,Third Layer,,,,,,,,,
Locations,Ruins,Fourth Layer,,,,,,,,,
Spells,Sword,,SABER,,,,,,,,
Spells,Sword,,SWORD,,,,,,,,
Locations,Upper Agartha,,AEIOU HQ - Admin Branch Office,The top floors of AEIOU where the administrative body of Agartha works.,,,,,,,
Locations,Upper Agartha,,AEIOU HQ - Exterminators Branch Office,,,,,,,,
Locations,Upper Agartha,,Ostanes HQ,,,,,,,,
Locations,Upper Agartha,,Xiong Manor,,,,,,,,
Miscellaneous,,,Coil,An enclosed network of |magical computing devices| used solely within the city of |Agartha|. The Coil leverages a pre-existing network of wiring strung throughout Agartha from ancient times. Data transfer is facilitated through the encoding of messages via the Universal |Spell| Protocol (USP) invented by Ostanes researcher Arin Park.,,X,,,,,
Miscellaneous,,,(the) Evil Eye,"A mythical entity, presumably a |Demon|, who is said to be the origin of all |Demons|. According to |Obscurian| myth, being caught under the gaze of the Evil Eye causes the subject to be cursed, and depending on the subject, that curse may take phyiscal form.",,,,,,,
Miscellaneous,,AEIOU Branches,Admin Branch,"The executive function of AEIOU, performing bureaucratic responsibilities.",,,,,,,
Miscellaneous,,,AEIOU,"The governing body of |Agartha| which consists of 5 branches:
  -The |Admin Branch|
  -The |Extermination Branch| - AKA ""Exterminators""
  -The |Iconoclast Branch|
  -The |Ostanes Branch|
  -The |Utility Branch|",,,,,,,
Miscellaneous,,,Armica,"A country within the North Armican continent. Early humans first migrated to the continent 12,000 years ago across the Bering land bridge. From the early 16th century on, various nations colonized parts of the continent (including the Spanish, French, and British, to name a few). This would eventually lead to a revolution by the colonies of Armica against their ruling monarchies, resulting in the formation of the sovereign nation of Armica.",,,,,,,
Miscellaneous,,,Boat Noodles (kuaitiao ruea),A noodle dish orginating from the canals of Thailand. Usually containing pork or beef in a thick soup seasoned with pig or cow blood and spices.,,,,,,,
Miscellaneous,,,Clarke,"The |Typocrypha's| AI Clerk, designed to assist users in the operation of their Typocrypha device. ",,X,,,,,
Miscellaneous,,,Demon,"Magical creatures originating from the magical flying city of |Agartha|. Varying greatly in biology, behavior, and magical capabilities, Demons represent the myths and stories they were born from. The origin of Demons is not yet fully understood, however legends suggest Demons are born from an entity known as |The Evil Eye| when it consumes those myths and stories.",,--THE EVIL EYE WATCHES--,,,,,
Miscellaneous,,AEIOU Branches,Extermination Branch,"The primary |Demon| extermination force, organized further into different suborganizations. The Exterminators additionally oversee the |AEIOU Academy| which trains new cadets.",,,,,,,
Miscellaneous,,AEIOU Branches,Iconoclast Branch,,,,,,,,
Miscellaneous,,,Magical Computing Device,"The general term for computing devices that rely on magical signals in addition to electrical signals. Pioneered by |Ostanes| through their research on the magical properties of the flying city of |Agartha|. 

Use of the term ""magic"" is debated for its lack of technical specificity.",,X,,,,,
